path,asset_type,locale,mime_type,width,height,duration_seconds,size_bytes,sha256,source,approval_status,alt_text
brand/colors-and-fonts.md,brand_reference,language-neutral,text/markdown,,,,523,95d91ef25fa1867cf976f2464434bcfdcc07782c6db00ec327893daa7e5bad9d,authored,review_required,
copy/marketing-copy-en.md,marketing_copy,en,text/markdown,,,,2970,481af876fdc10ce430c16bd1500129196beae5bb0b40d307a7d37162b681c86b,repository_evidence_authored,native_language_review_required,
copy/marketing-copy-ka.md,marketing_copy,ka-GE,text/markdown,,,,8734,660a79c724e9d1369279cb13f11bfb03ee8a15c1f431a5e7b419ead19ba02926,repository_evidence_authored,native_language_review_required,
copy/voiceover-en.txt,voiceover_script,en,text/plain,,,,316,3e2542eb8effdb16a11d3693da5998ff7abc5b7448dda93f174ceea9140be5dc,repository_evidence_authored,native_language_review_required,
copy/voiceover-ka.txt,voiceover_script,ka-GE,text/plain,,,,938,4eb4315fd6c3072cb3801e03ce8b644a4fc5105ef8f514fed71a95be4f62f94f,repository_evidence_authored,native_language_review_required,
images/contact-sheet-en.png,product_contact_sheet,en,image/png,1920,1080,,598107,cc307963ddad2169090b251cf5fbe1f3e898428fa15567656c02542349b04088,derived_from_product_screens,review_required,"Six English VinOS product screens covering dashboard, vineyard, weather, cellar, fermentation, and AI."
images/contact-sheet-ka.png,product_contact_sheet,ka-GE,image/png,1920,1080,,659918,394de954114d62e40bb408684d742c97ba91f7cbafb82dffa292c3010db2c923,derived_from_product_screens,review_required,"VinOS-ის ექვსი პროდუქტის ეკრანი ქართულ ინტერფეისში: დაფა, ვენახი, ამინდი, მარანი, დუღილი და AI."
images/en/01-dashboard-overview-en.png,product_screenshot,en,image/png,1274,717,,343620,6cd54bf4575ecb7189ea4ef6e15bda8f986eb445704017c2ad5d11c9febb2b5a,authenticated_local_app_testuser1,review_required,VinOS attention dashboard with fictional demo alerts and operational priorities.
images/en/02-vineyard-operations-en.png,product_screenshot,en,image/png,1274,717,,332276,c45355851870399734f80480cc216f2ad760ed687d9b65149720001d339df0c3,authenticated_local_app_testuser1,review_required,VinOS vineyard management screen with recorded block status and field tools.
images/en/03-vineyard-intelligence-en.png,product_screenshot,en,image/png,1274,717,,471723,37139c934e8744738d7b0b9a6c28c64eea2c5ce00ffeaf1cbcc99c2e8917af8a,authenticated_local_app_testuser1,review_required,VinOS agro-weather screen with forecast data and rule-based risk indicators.
